qualification_id,component_id,method_revision,wall_state_basis,temp_min_c,temp_max_c,pressure_max_mpa,fatigue_envelope_id,b31j_geometry_key,fea_evidence_id,vendor_evidence_id,limitations,status,checked_by,approved_by
QUAL-PIPE-NPS1-XXS,COMP-PIPE-NPS1-XXS,1.0.0,EOL_NET,-29.0,200.0,35.00,ENV-HP-PIPE-NPS1,GEO-PIPE-NPS1-XXS,NONE,NONE,NONE,PREQUALIFIED,LEAD_PE,CHIEF_ENGR
QUAL-PIPE-NPS2-SCH160,COMP-PIPE-NPS2-SCH160,1.0.0,EOL_NET,-29.0,200.0,37.95,ENV-HP-PIPE-NPS2,GEO-PIPE-NPS2-SCH160,NONE,NONE,NONE,PREQUALIFIED,LEAD_PE,CHIEF_ENGR
QUAL-PIPE-NPS2-XXS,COMP-PIPE-NPS2-XXS,1.0.0,EOL_NET,-29.0,200.0,40.00,ENV-HP-PIPE-NPS2-XXS,GEO-PIPE-NPS2-XXS,NONE,NONE,NONE,PREQUALIFIED,LEAD_PE,CHIEF_ENGR
QUAL-PIPE-NPS3-SCH160,COMP-PIPE-NPS3-SCH160,1.0.0,EOL_NET,-29.0,200.0,30.00,ENV-HP-PIPE-NPS3,GEO-PIPE-NPS3-SCH160,NONE,NONE,NONE,PREQUALIFIED,LEAD_PE,CHIEF_ENGR
QUAL-PIPE-NPS4-SCH160,COMP-PIPE-NPS4-SCH160,1.0.0,EOL_NET,-29.0,200.0,23.09,ENV-HP-PIPE-NPS4,GEO-PIPE-NPS4-SCH160,NONE,NONE,NONE,PREQUALIFIED,LEAD_PE,CHIEF_ENGR
QUAL-PIPE-NPS4-XXS,COMP-PIPE-NPS4-XXS,1.0.0,EOL_NET,-29.0,200.0,32.50,ENV-HP-PIPE-NPS4-XXS,GEO-PIPE-NPS4-XXS,NONE,NONE,NONE,PREQUALIFIED,LEAD_PE,CHIEF_ENGR
QUAL-PIPE-NPS6-HEAVY,COMP-PIPE-NPS6-HEAVY,1.0.0,EOL_NET,-29.0,200.0,30.430487,ENV-HP-PIPE-NPS6,GEO-PIPE-NPS6-HEAVY,NONE,NONE,NONE,PREQUALIFIED,LEAD_PE,CHIEF_ENGR
QUAL-ELB90-NPS2-XXS,COMP-ELB-90-NPS2-XXS,1.0.0,EOL_NET,-29.0,200.0,35.00,ENV-HP-ELB-NPS2,GEO-ELB90-NPS2-XXS,FEA-ELB-2024-001,NONE,System moments within SIF envelope,CONDITIONAL,LEAD_PE,CHIEF_ENGR
QUAL-ELB90-NPS4-SCH160,COMP-ELB-90-NPS4-SCH160,1.0.0,EOL_NET,-29.0,200.0,23.09,ENV-HP-ELB-NPS4,GEO-ELB90-NPS4-SCH160,FEA-ELB-2024-002,NONE,System moments within SIF envelope,CONDITIONAL,LEAD_PE,CHIEF_ENGR
QUAL-TEE-NPS4-SCH160,COMP-TEE-NPS4-SCH160,1.0.0,EOL_NET,-29.0,200.0,23.09,ENV-HP-TEE-NPS4,GEO-TEE-NPS4-SCH160,FEA-TEE-2024-001,NONE,3D Continuum FEA required per KD-240/KD-3,SPECIAL_ANALYSIS,LEAD_PE,CHIEF_ENGR
QUAL-RED-NPS4X2-SCH160,COMP-RED-NPS4X2-SCH160,1.0.0,EOL_NET,-29.0,200.0,23.09,ENV-HP-RED-NPS4X2,GEO-RED-NPS4X2-SCH160,FEA-RED-2024-001,NONE,Requires taper angle <= 30 deg,CONDITIONAL,LEAD_PE,CHIEF_ENGR
QUAL-FLG-WN-2500-NPS4,COMP-FLG-WN-2500-NPS4,1.0.0,MANUFACTURED_MIN,-29.0,200.0,42.55,ENV-HP-FLG-NPS4,GEO-FLG-WN-2500-NPS4,FEA-FLG-2024-001,VENDOR-FLG-CERT-01,Hub stress check mandatory,CONDITIONAL,LEAD_PE,CHIEF_ENGR
QUAL-VALVE-2500-NPS4,COMP-VALVE-2500-NPS4,1.0.0,MANUFACTURED_MIN,-29.0,200.0,42.55,ENV-HP-VALVE-NPS4,GEO-VALVE-2500-NPS4,NONE,VENDOR-VALVE-CERT-01,Manufacturer KD-3 certificate required,CONDITIONAL,LEAD_PE,CHIEF_ENGR
QUAL-OLET-NPS4X2-XXS,COMP-OLET-NPS4X2-XXS,1.0.0,EOL_NET,-29.0,200.0,30.00,ENV-HP-OLET-NPS4X2,GEO-OLET-NPS4X2-XXS,FEA-OLET-2024-001,NONE,Detailed local FEA required,SPECIAL_ANALYSIS,LEAD_PE,CHIEF_ENGR
