source_id,standard,edition,addenda,document_title,document_hash,license_class,storage_class,source_locator,verified_by,verified_at,status
SRC-B313-2024,ASME B31.3,2024,NONE,Process Piping - Chapter IX High Pressure Fluid Service,sha256:d8b72f1a94e803c4a22c56e3b091f6e27b68903c71ea63a756b19a7102e3b901,LICENSED_RESTRICTED,SECURE_STORE,Chapter IX K304 & K304.8,LEAD_PE,2026-01-15T08:00:00Z,ACTIVE
SRC-B313-2022,ASME B31.3,2022,NONE,Process Piping - Chapter IX High Pressure Fluid Service,sha256:4a65b901e23f07a8b98123c56d78ef0123456789abcdef0123456789abcdef01,LICENSED_RESTRICTED,SECURE_STORE,Chapter IX K304 & K304.8,LEAD_PE,2024-02-10T09:00:00Z,ACTIVE
SRC-VIII3-2025,ASME BPVC Section VIII Div 3,2025,NONE,Alternative Rules for Construction of High Pressure Vessels - Articles KD-2 & KD-3,sha256:91c28f30e4b76a0129cd3e845f012a6789bcde0123456789abcdef0123456789,LICENSED_RESTRICTED,SECURE_STORE,Part KD Articles KD-2 & KD-3,LEAD_PE,2026-01-20T10:30:00Z,ACTIVE
SRC-VIII3-2023,ASME BPVC Section VIII Div 3,2023,NONE,Alternative Rules for Construction of High Pressure Vessels - Articles KD-2 & KD-3,sha256:3e845f012a6789bcde0123456789abcdef0123456789abcdef0123456789abcd,LICENSED_RESTRICTED,SECURE_STORE,Part KD Articles KD-2 & KD-3,LEAD_PE,2024-03-12T11:00:00Z,ACTIVE
SRC-VIII3-2021,ASME BPVC Section VIII Div 3,2021,NONE,Alternative Rules for Construction of High Pressure Vessels - Articles KD-2 & KD-3,sha256:bcde0123456789abcdef0123456789abcdef0123456789abcdef0123456789ab,LICENSED_RESTRICTED,SECURE_STORE,Part KD Articles KD-2 & KD-3,LEAD_PE,2022-04-18T14:15:00Z,ACTIVE
SRC-B31J-2020,ASME B31J,2020,NONE,Standard Test Method for Determining Stress Intensification Factors (i-Factors) for Metallic Piping Components,sha256:789abcdef0123456789abcdef0123456789abcdef0123456789abcdef012345,LICENSED_RESTRICTED,SECURE_STORE,Table 1-1 & Section 3,LEAD_PE,2024-02-15T09:00:00Z,ACTIVE
SRC-B31J-2017,ASME B31J,2017,NONE,Stress Intensification Factors (i-Factors), Flexibility Factors, and Sustained Stress Factors,sha256:0123456789abcdef0123456789abcdef0123456789abcdef0123456789abcdef,LICENSED_RESTRICTED,SECURE_STORE,Table 1-1,LEAD_PE,2022-05-10T10:00:00Z,ACTIVE
SRC-SEC2D-2025,ASME BPVC Section II Part D,2025,NONE,Materials - Properties (Metric),sha256:cdef0123456789abcdef0123456789abcdef0123456789abcdef0123456789ab,LICENSED_RESTRICTED,SECURE_STORE,Table 2A Table Y-1 Table TE-1,LEAD_PE,2026-01-25T13:00:00Z,ACTIVE
SRC-SEC2D-2023,ASME BPVC Section II Part D,2023,NONE,Materials - Properties (Metric),sha256:ef0123456789abcdef0123456789abcdef0123456789abcdef0123456789abcd,LICENSED_RESTRICTED,SECURE_STORE,Table 2A Table Y-1 Table TE-1,LEAD_PE,2024-03-01T15:00:00Z,ACTIVE
SRC-B3610M-2022,ASME B36.10M,2022,NONE,Welded and Seamless Wrought Steel Pipe,sha256:f0123456789abcdef0123456789abcdef0123456789abcdef0123456789abcdef,PUBLIC_STANDARD,OPEN_STORE,Table 2-1 Dimensions & Tolerances,LEAD_PE,2024-01-10T09:30:00Z,ACTIVE
SRC-TEST-SYNTH,INTERNAL BENCHMARK,2026,NONE,Synthetic Test & Verification Authority Manifest,sha256:0000111122223333444455556666777788889999aaaabbbbccccddddeeeeffff,PUBLIC_DOMAIN,OPEN_STORE,Class B/C/D Verification Cases,QA_AUDITOR,2026-08-15T00:00:00Z,ACTIVE
