item,mechanism,applicable_fluids,high_criteria,high_score,medium_criteria,medium_score,low_criteria,low_score,guidance_ref
1,Flow Induced Turbulence (FIT),All fluids,rho_v2 >= 20000 kg/(m s2),5,5000 <= rho_v2 < 20000 kg/(m s2),3,rho_v2 < 5000 kg/(m s2),0,Section T2.2 / Note 1
2,Flow Induced Pulsation (Deadlegs),Gases only,Deadleg branch present with Strouhal lock-in potential (v/D >= 20 s^-1),5,Side branch present but geometry not prone to acoustic resonance,2,No closed side branches or deadlegs,0,Section T2.6 / Note 2
3,High Frequency Acoustic Excitation (AIV),Gases only,Pressure drop across valve/orifice with choked flow / sonic velocity (PWL >= 155 dB),5,High pressure drop valve with sub-critical flow (145 <= PWL < 155 dB),2,No severe pressure drop or PWL < 145 dB,0,Section T2.7 / Note 3
4,Mechanical Excitation,All systems,Connected directly to reciprocating compressor or positive displacement pump,5,Connected to centrifugal machinery or skid with moderate vibration,3,Isolated / static piping with no vibrating equipment,0,Section T2.3 / Note 4
5,Pulsation — Reciprocating Machinery,Gas and Liquid,Reciprocating compressor/pump without pulsation dampener,5,Reciprocating compressor/pump with standard pulsation bottle,2,No reciprocating machinery,0,Section T2.4 / Note 5
6,Pulsation — Rotating Stall,Gas systems only,Centrifugal compressor operated at low flow / recycle / near surge (< 70% BEP),4,Centrifugal compressor with stable continuous operating envelope,1,No centrifugal compressor,0,Section T2.5 / Note 6
7,Surge / Momentum Changes,Liquid / Multiphase / Gas,"Fast acting valves (ESD, BDV, PCV, RV closure < 2L/c or fast opening)",5,Automated control valves with moderate stroke speed,2,Manual slow-acting valves only,0,Section T2.8 / Note 7
8,Cavitation and Flashing,Liquids / Multiphase,Liquid control valve/orifice with Sigma <= Sigma_critical or downstream flashing,4,Moderate pressure drop with minor cavitation risk,2,No cavitation or flashing conditions,0,Section T2.9 / Note 8
9,Vortex Shedding (Intrusive Elements),All fluids,Thermowell / sample probe with v >= v_critical (Scruton/Strouhal lock-in),4,Intrusive element with moderate velocity ratio,2,No intrusive elements or proven ASME PTC 19.3 TW pass,0,Module TM-04 / Note 9
10,Operational / Design History,All systems,History of vibration fatigue failures on identical/similar system without verified redesign,5,Known moderate vibration reported during walkdowns,2,Proven track record with zero vibration issues,0,Chapter 4 / Note 10
