material_id,specification,grade,condition,product_form,uns_number,material_family,notes,status
MAT-CS-A106-B,ASTM A106,Grade B,HOT_FINISHED_OR_COLD_DRAWN,SEAMLESS_PIPE,K03006,CARBON_STEEL,Standard high pressure carbon steel seamless pipe,ACTIVE
MAT-LTCS-A333-6,ASTM A333,Grade 6,NORMALIZED,SEAMLESS_PIPE,K03006,LT_CARBON_STEEL,Low temperature high pressure service down to -46C,ACTIVE
MAT-SS-A312-316,ASTM A312,TP316,SOLUTION_ANNEALED,SEAMLESS_PIPE,S31600,AUSTENITIC_SS,Standard 316 austenitic stainless steel,ACTIVE
MAT-SS-A312-316L,ASTM A312,TP316L,SOLUTION_ANNEALED,SEAMLESS_PIPE,S31603,AUSTENITIC_SS,Low carbon 316L for high pressure fluid service,ACTIVE
MAT-SS-A312-304,ASTM A312,TP304,SOLUTION_ANNEALED,SEAMLESS_PIPE,S30400,AUSTENITIC_SS,Standard 304 austenitic stainless steel,ACTIVE
MAT-DUP-A790-2205,ASTM A790,UNS S31803,SOLUTION_ANNEALED,SEAMLESS_PIPE,S31803,DUPLEX_SS,22Cr Duplex stainless steel high strength,ACTIVE
MAT-SDUP-A790-2507,ASTM A790,UNS S32750,SOLUTION_ANNEALED,SEAMLESS_PIPE,S32750,SUPER_DUPLEX_SS,25Cr Super Duplex high pressure and corrosion resistance,ACTIVE
MAT-INC-B444-625,ASTM B444,Grade 1 (UNS N06625),ANNEALED,SEAMLESS_PIPE,N06625,NICKEL_ALLOY,Alloy 625 severe cyclic and corrosive service,ACTIVE
MAT-FORG-A694-F60,ASTM A694,F60,QUENCHED_AND_TEMPERED,FORGING,K03014,HIGH_YIELD_CS,High yield forged fittings and flange hubs,ACTIVE
MAT-FORG-A694-F65,ASTM A694,F65,QUENCHED_AND_TEMPERED,FORGING,K03014,HIGH_YIELD_CS,High yield forged fittings and flange hubs,ACTIVE
MAT-FORG-A182-F316,ASTM A182,F316,SOLUTION_TREATED,FORGING,S31600,AUSTENITIC_SS,Forged austenitic stainless steel fittings,ACTIVE
TEST-MAT,SYNTHETIC,TEST-GRD,CONTROLLED,SEAMLESS_PIPE,UNS-SYNTH-01,SYNTHETIC_FAMILY,Synthetic non-ASME material for algorithm qualification,ACTIVE
